ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P107911	NM_002776	NM_002776	NM_002776	Hs.275464	5655	KLK10	kallikrein-related peptidase 10	ENST00000309958	NP837646	GO:0004252(serine-type endopeptidase activity)|GO:0005576(extracellular region)|GO:0006508(proteolysis)|GO:0007049(cell cycle)|GO:0045786(negative regulation of progression through cell cycle)	"Homo sapiens kallikrein-related peptidase 10 (KLK10), transcript variant 1, mRNA [NM_002776]"	chr19:56209467-56209408	hs|19q13.33
A_23_P107933	NM_016440	NM_016440	NM_016440	Hs.443330	51231	VRK3	vaccinia related kinase 3	ENST00000316763	THC2475744	GO:0000166(nucleotide binding)|GO:0003910(DNA ligase (ATP) activity)|GO:0004672(protein kinase activity)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0006260(DNA replication)|GO:0006281(DNA repair)|GO:0006310(DNA recombination)|GO:0006468(protein amino acid phosphorylation)|GO:0016740(transferase activity)	"Homo sapiens vaccinia related kinase 3 (VRK3), transcript variant 1, mRNA [NM_016440]"	chr19:55190296-55189966	hs|19q13.33
A_23_P107942	NM_015428	NM_015428	NM_015428	Hs.440553	25888	ZNF473	zinc finger protein 473	ENST00000270617	THC2732529	"GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 473 (ZNF473), transcript variant 1, mRNA [NM_015428]"	chr19:55241873-55241932	hs|19q13.33
A_23_P107959	NM_015953	NM_015953	NM_015953	Hs.7236	51070	NOSIP	nitric oxide synthase interacting protein	ENST00000339093	THC2514605	GO:0000151(ubiquitin ligase complex)|GO:0004842(ubiquitin-protein ligase activity)|GO:0016567(protein ubiquitination)	"Homo sapiens nitric oxide synthase interacting protein (NOSIP), mRNA [NM_015953]"	chr19:54751623-54751441	hs|19q13.33
A_23_P107963	NM_000148	NM_000148	NM_000148	Hs.69747	2523	FUT1	"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)"	ENST00000310160	THC2474190	"GO:0005615(extracellular space)|GO:0005624(membrane fraction)|GO:0005794(Golgi apparatus)|GO:0005887(integral to plasma membrane)|GO:0005975(carbohydrate metabolic process)|GO:0006486(protein amino acid glycosylation)|GO:0008107(galactoside 2-alpha-L-fucosyltransferase activity)|GO:0008417(fucosyltransferase activity)|GO:0016020(membrane)|GO:0016757(transferase activity, transferring glycosyl groups)|GO:0042355(L-fucose catabolic process)"	"Homo sapiens fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group) (FUT1), mRNA [NM_000148]"	chr19:53943137-53943080	hs|19q13.33
A_23_P107974	NM_000511	NM_000511	NM_000511	Hs.579928	2524	FUT2	fucosyltransferase 2 (secretor status included)	ENST00000356650	THC2615498	"GO:0005794(Golgi apparatus)|GO:0005975(carbohydrate metabolic process)|GO:0006486(protein amino acid glycosylation)|GO:0008107(galactoside 2-alpha-L-fucosyltransferase activity)|GO:0008417(fucosyltransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)|GO:0030173(integral to Golgi membrane)|GO:0042355(L-fucose catabolic process)"	"Homo sapiens fucosyltransferase 2 (secretor status included) (FUT2), mRNA [NM_000511]"	chr19:53898800-53898859	hs|19q13.33
A_23_P10798	NM_033133	NM_033133	NM_033133	Hs.273621	1267	CNP	"2',3'-cyclic nucleotide 3' phosphodiesterase"	ENST00000310262	THC2546202	"GO:0004113(2',3'-cyclic-nucleotide 3'-phosphodiesterase activity)|GO:0005624(membrane fraction)|GO:0007268(synaptic transmission)|GO:0007409(axonogenesis)|GO:0008344(adult locomotory behavior)|GO:0009214(cyclic nucleotide catabolic process)|GO:0016020(membrane)|GO:0016787(hydrolase activity)"	"Homo sapiens 2',3'-cyclic nucleotide 3' phosphodiesterase (CNP), mRNA [NM_033133]"	chr17:37377553-37379055	hs|17q21.2
A_23_P107981	NM_004605	NM_004605	NM_004605	Hs.369331	6820	SULT2B1	"sulfotransferase family, cytosolic, 2B, member 1"	ENST00000323090	THC2649177	GO:0000103(sulfate assimilation)|GO:0004027(alcohol sulfotransferase activity)|GO:0005737(cytoplasm)|GO:0006629(lipid metabolic process)|GO:0008202(steroid metabolic process)|GO:0016740(transferase activity)|GO:0050294(steroid sulfotransferase activity)	"Homo sapiens sulfotransferase family, cytosolic, 2B, member 1 (SULT2B1), transcript variant 1, mRNA [NM_004605]"	chr19:53787854-53791835	hs|19q13.32
A_23_P107994	NM_017854	NM_017854	NM_017854	Hs.105606	54958	TMEM160	transmembrane protein 160	ENST00000253047	THC2471221	GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 160 (TMEM160), mRNA [NM_017854]"	chr19:52241216-52241157	hs|19q13.32
A_23_P108028	NM_007145	NM_007145	NM_007145	Hs.643436	7705	ZNF146	zinc finger protein 146	ENST00000301233	THC2722245	"GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008201(heparin binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 146 (ZNF146), mRNA [NM_007145]"	chr19:41420695-41420754	hs|19q13.12
A_23_P108042	BC064806		BC064806	Hs.97084	9437	NCR1	natural cytotoxicity triggering receptor 1		NP080923	GO:0004872(receptor activity)|GO:0005057(receptor signaling protein activity)|GO:0005515(protein binding)|GO:0005615(extracellular space)|GO:0005887(integral to plasma membrane)|GO:0006968(cellular defense response)|GO:0007165(signal transduction)|GO:0016020(membrane)|GO:0016514(SWI/SNF complex)|GO:0030101(natural killer cell activation)|GO:0042269(regulation of natural killer cell mediated cytotoxicity)	"Homo sapiens natural cytotoxicity triggering receptor 1, mRNA (cDNA clone MGC:65100 IMAGE:5218848), complete cds. [BC064806]"	chr19:60116488-60116547	hs|19q13.42
A_23_P108054	NM_173804	NM_173804	NM_173804	Hs.135215	255043	TMEM86B	transmembrane protein 86B		THC2475789	GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 86B (TMEM86B), mRNA [NM_173804]"	chr19:60429983-60429924	hs|19q13.42
A_23_P108062	NM_001042507	NM_001042507	NM_001042507	Hs.558355	653499	LOC653499	similar to Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced protein 1)	ENST00000314980	THC2472093		"Homo sapiens similar to Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced protein 1) (LOC653499), mRNA [NM_001042507]"	chr19:43973215-43973274	hs|19q13.2
A_23_P108075	NM_019849	NM_019849	NM_019849	Hs.58679	56301	SLC7A10	"solute carrier family 7, (neutral amino acid transporter, y+ system) member 10"	ENST00000253188	NP181408	GO:0005279(amino acid-polyamine transporter activity)|GO:0005515(protein binding)|GO:0005887(integral to plasma membrane)|GO:0006810(transport)|GO:0006865(amino acid transport)|GO:0015194(L-serine transporter activity)|GO:0015804(neutral amino acid transport)|GO:0016020(membrane)	"Homo sapiens solute carrier family 7, (neutral amino acid transporter, y+ system) member 10 (SLC7A10), mRNA [NM_019849]"	chr19:38391609-38391550	hs|19q13.11
A_23_P108082	NM_032607	NM_032607	NM_032607	Hs.247744	84699	CREB3L3	cAMP responsive element binding protein 3-like 3	ENST00000078445	NP1076688	"GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0043565(sequence-specific DNA binding)|GO:0046983(protein dimerization activity)"	"Homo sapiens cAMP responsive element binding protein 3-like 3 (CREB3L3), mRNA [NM_032607]"	chr19:4123219-4123278	hs|19p13.3
A_23_P108103	AK000707		AK000707	Hs.43071					THC2489239		"Homo sapiens cDNA FLJ20700 fis, clone KAIA2250. [AK000707]"	chr19:4430136-4430195	hs|19p13.3
A_23_P108129	NM_013361	NM_013361	NM_013361	Hs.532870	7766	ZNF223	zinc finger protein 223	ENST00000269981	THC2754512	"GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008150(biological_process)"	"Homo sapiens zinc finger protein 223 (ZNF223), mRNA [NM_013361]"	chr19:49262497-49262556	hs|19q13.31
A_23_P108135	NM_003938	NM_003938	NM_003938	Hs.512815	8943	AP3D1	"adaptor-related protein complex 3, delta 1 subunit"	ENST00000355272	THC2584291	"GO:0005215(transporter activity)|GO:0005488(binding)|GO:0005794(Golgi apparatus)|GO:0005802(Golgi trans face)|GO:0006726(eye pigment biosynthetic process)|GO:0006886(intracellular protein transport)|GO:0016192(vesicle-mediated transport)|GO:0048007(antigen processing and presentation, exogenous lipid antigen via MHC class Ib)|GO:0051138(positive regulation of NK T cell differentiation)"	"Homo sapiens adaptor-related protein complex 3, delta 1 subunit (AP3D1), transcript variant 2, mRNA [NM_003938]"	chr19:2065272-2065213	hs|19p13.3
A_23_P108143	NM_000156	NM_000156	NM_000156	Hs.81131	2593	GAMT	guanidinoacetate N-methyltransferase	ENST00000252288	THC2461039	GO:0006601(creatine biosynthetic process)|GO:0006936(muscle contraction)|GO:0007283(spermatogenesis)|GO:0008168(methyltransferase activity)|GO:0009887(organ morphogenesis)|GO:0016740(transferase activity)|GO:0030731(guanidinoacetate N-methyltransferase activity)|GO:0040014(regulation of body size)	"Homo sapiens guanidinoacetate N-methyltransferase (GAMT), transcript variant 1, mRNA [NM_000156]"	chr19:1348288-1348229	hs|19p13.3
A_23_P10815	NM_001020658	NM_001020658	NM_001020658	Hs.281707	9698	PUM1	pumilio homolog 1 (Drosophila)	ENST00000257075	THC2469817	GO:0003723(RNA binding)|GO:0005488(binding)	"Homo sapiens pumilio homolog 1 (Drosophila) (PUM1), transcript variant 1, mRNA [NM_001020658]"	chr1:31177240-31177181	hs|1p35.2
A_23_P108157	NM_014428	NM_014428	NM_014428	Hs.25527	27134	TJP3	tight junction protein 3 (zona occludens 3)	ENST00000262968	THC2608759	GO:0005515(protein binding)|GO:0005923(tight junction)|GO:0016020(membrane)	"Homo sapiens tight junction protein 3 (zona occludens 3) (TJP3), mRNA [NM_014428]"	chr19:3697516-3697575	hs|19p13.3
A_23_P108170	NM_002782	NM_002782	NM_002782	Hs.466843	5675	PSG6	pregnancy specific beta-1-glycoprotein 6	ENST00000292125	THC2569655	GO:0005615(extracellular space)|GO:0007565(pregnancy)	"Homo sapiens pregnancy specific beta-1-glycoprotein 6 (PSG6), transcript variant 1, mRNA [NM_002782]"	chr19:48102986-48102927	hs|19q13.31
A_23_P108180	NM_138690	NM_138690	NM_138690	Hs.325321	116444	GRIN3B	"glutamate receptor, ionotropic, N-methyl-D-aspartate 3B"	ENST00000234389	THC2482084	GO:0000287(magnesium ion binding)|GO:0004872(receptor activity)|GO:0004970(ionotropic glutamate receptor activity)|GO:0005215(transporter activity)|GO:0005216(ion channel activity)|GO:0005234(glutamate-gated ion channel activity)|GO:0005509(calcium ion binding)|GO:0005615(extracellular space)|GO:0006811(ion transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0045211(postsynaptic membrane)	"Homo sapiens glutamate receptor, ionotropic, N-methyl-D-aspartate 3B (GRIN3B), mRNA [NM_138690]"	chr19:958664-958723	hs|19p13.3
A_23_P108200	NM_002866	NM_002866	NM_002866	Hs.27744	5864	RAB3A	"RAB3A, member RAS oncogene family"	ENST00000222256	THC2637297	GO:0000166(nucleotide binding)|GO:0003924(GTPase activity)|GO:0005515(protein binding)|GO:0005525(GTP binding)|GO:0006886(intracellular protein transport)|GO:0007264(small GTPase mediated signal transduction)|GO:0007269(neurotransmitter secretion)|GO:0008021(synaptic vesicle)|GO:0008565(protein transporter activity)|GO:0016020(membrane)|GO:0017157(regulation of exocytosis)	"Homo sapiens RAB3A, member RAS oncogene family (RAB3A), mRNA [NM_002866]"	chr19:18169429-18169370	hs|19p13.11
A_23_P108216	NM_005031	NM_005031	NM_005031	Hs.442498	5348	FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)	ENST00000351325	THC2471806	GO:0005216(ion channel activity)|GO:0005254(chloride channel activity)|GO:0005615(extracellular space)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006811(ion transport)|GO:0006821(chloride transport)|GO:0006936(muscle contraction)|GO:0031404(chloride ion binding)	"Homo sapiens FXYD domain containing ion transport regulator 1 (phospholemman) (FXYD1), transcript variant a, mRNA [NM_005031]"	chr19:40322872-40323889	hs|19q13.12
A_23_P108221	NM_032037	NM_032037	NM_032037	Hs.532711	83983	TSSK6	testis-specific serine kinase 6	ENST00000360913	THC2490210	GO:0000166(nucleotide binding)|GO:0000287(magnesium ion binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0004713(protein-tyrosine kinase activity)|GO:0005524(ATP binding)|GO:0006468(protein amino acid phosphorylation)|GO:0007283(spermatogenesis)|GO:0016740(transferase activity)|GO:0030154(cell differentiation)|GO:0035092(sperm chromatin condensation)	"Homo sapiens testis-specific serine kinase 6 (TSSK6), mRNA [NM_032037]"	chr19:19486669-19486610	hs|19p13.11
A_23_P108244	NM_001863	NM_001863	NM_001863	Hs.431668	1340	COX6B1	cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)	ENST00000246554	THC2662214	GO:0004129(cytochrome-c oxidase activity)|GO:0005739(mitochondrion)|GO:0006118(electron transport)|GO:0016491(oxidoreductase activity)	"Homo sapiens cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous) (COX6B1), mRNA [NM_001863]"	chr19:40841349-40841408	hs|19q13.12
A_23_P108265	NM_012377	NM_012377	NM_012377	Hs.589620	26658	OR7C2	"olfactory receptor, family 7, subfamily C, member 2"	ENST00000248072	NP384510	GO:0004872(receptor activity)|GO:0004984(olfactory receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007608(sensory perception of smell)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0050896(response to stimulus)	"Homo sapiens olfactory receptor, family 7, subfamily C, member 2 (OR7C2), mRNA [NM_012377]"	chr19:14913882-14913941	hs|19p13.12
A_23_P108280	NM_023944	NM_023944	NM_023944	Hs.591000	66002	CYP4F12	"cytochrome P450, family 4, subfamily F, polypeptide 12"	ENST00000324632	THC2472863	GO:0004497(monooxygenase activity)|GO:0005506(iron ion binding)|GO:0005783(endoplasmic reticulum)|GO:0005792(microsome)|GO:0006118(electron transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0020037(heme binding)|GO:0046872(metal ion binding)|GO:0050381(unspecific monooxygenase activity)	"Homo sapiens cytochrome P450, family 4, subfamily F, polypeptide 12 (CYP4F12), mRNA [NM_023944]"	chr19:15655543-15656654	hs|19p13.12
A_23_P108294	NM_177543	NM_177543	NM_177543	Hs.465506	8612	PPAP2C	phosphatidic acid phosphatase type 2C	ENST00000327790	THC2554424	GO:0004721(phosphoprotein phosphatase activity)|GO:0008195(phosphatidate phosphatase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016787(hydrolase activity)	"Homo sapiens phosphatidic acid phosphatase type 2C (PPAP2C), transcript variant 3, mRNA [NM_177543]"	chr19:233253-233194	hs|19p13.3
A_23_P1083	NM_002060	NM_002060	NM_002060	Hs.296310	2701	GJA4	"gap junction protein, alpha 4, 37kDa (connexin 37)"	ENST00000339890	THC2470723	GO:0001568(blood vessel development)|GO:0005887(integral to plasma membrane)|GO:0005922(connexon complex)|GO:0006810(transport)|GO:0007043(intercellular junction assembly)|GO:0007154(cell communication)|GO:0015285(connexon channel activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens gap junction protein, alpha 4, 37kDa (connexin 37) (GJA4), mRNA [NM_002060]"	chr1:35033682-35033741	hs|1p34.3
A_23_P108303	NM_005001	NM_005001	NM_005001	Hs.333427	4701	NDUFA7	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"	ENST00000301457	THC2540471	GO:0003954(NADH dehydrogenase activity)|GO:0005624(membrane fraction)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0005747(respiratory chain complex I (sensu the Eukaryota research community))|GO:0008137(NADH dehydrogenase (ubiquinone) activity)|GO:0016491(oxidoreductase activity)|GO:0042773(ATP synthesis coupled electron transport)	"Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa (NDUFA7), mRNA [NM_005001]"	chr19:8282334-8282275	hs|19p13.2
A_23_P108314	NM_030957	NM_030957	NM_030957	Hs.465818	81794	ADAMTS10	"ADAM metallopeptidase with thrombospondin type 1 motif, 10"	ENST00000270328	THC2464352	GO:0003674(molecular_function)|GO:0004222(metalloendopeptidase activity)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0005615(extracellular space)|GO:0006508(proteolysis)|GO:0007229(integrin-mediated signaling pathway)|GO:0008150(biological_process)|GO:0008270(zinc ion binding)|GO:0031012(extracellular matrix)|GO:0046872(metal ion binding)	"Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 10 (ADAMTS10), mRNA [NM_030957]"	chr19:8551690-8551631	hs|19p13.2
A_23_P108326	NM_005234	NM_005234	NM_005234	Hs.466148	2063	NR2F6	"nuclear receptor subfamily 2, group F, member 6"	ENST00000291442	THC2591572	"GO:0003700(transcription factor activity)|GO:0003707(steroid hormone receptor activity)|GO:0004887(thyroid hormone receptor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007165(signal transduction)|GO:0008270(zinc ion binding)|GO:0043565(sequence-specific DNA binding)|GO:0046872(metal ion binding)"	"Homo sapiens nuclear receptor subfamily 2, group F, member 6 (NR2F6), mRNA [NM_005234]"	chr19:17207411-17207352	hs|19p13.11
A_23_P108331	NM_003021	NM_003021	NM_003021	Hs.203910	6449	SGTA	"small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha"	ENST00000221566	THC2572959	GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0008150(biological_process)	"Homo sapiens small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha (SGTA), mRNA [NM_003021]"	chr19:2705882-2705823	hs|19p13.3
A_23_P108342	NM_016536	NM_016536	NM_016536	Hs.590944	51276	ZNF571	zinc finger protein 571	ENST00000328550	THC2478580	"GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 571 (ZNF571), mRNA [NM_016536]"	chr19:42747392-42747333	hs|19q13.12
A_23_P108376	NM_022065	NM_022065	NM_022065	Hs.369592	63892	THADA	thyroid adenoma associated	ENST00000330266	NP1213066	GO:0004872(receptor activity)|GO:0005215(transporter activity)|GO:0006810(transport)|GO:0016020(membrane)	"Homo sapiens thyroid adenoma associated (THADA), transcript variant 1, mRNA [NM_022065]"	chr2:43313377-43311949	hs|2p21
A_23_P10839	NM_001008491	NM_001008491	NM_001008491	Hs.335057	4735	02-Sep	septin 2	ENST00000360051	THC2486602	GO:0000166(nucleotide binding)|GO:0000910(cytokinesis)|GO:0003924(GTPase activity)|GO:0005515(protein binding)|GO:0005525(GTP binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005826(contractile ring)|GO:0007049(cell cycle)|GO:0019717(synaptosome)	"Homo sapiens septin 2 (SEPT2), transcript variant 1, mRNA [NM_001008491]"	chr2:241938249-241940071	hs|2q37.3
A_23_P108394	THC2783023								THC2783023		"Q8IUM9_HUMAN (Q8IUM9) ACSL3 protein, complete [THC2467888]"	chr2:223515847-223515902	hs|2q36.1
A_23_P108404	NM_001037131	NM_001037131	NM_001037131	Hs.435039	116987	CENTG2	"centaurin, gamma 2"		THC2465129		"Homo sapiens centaurin, gamma 2 (CENTG2), transcript variant 1, mRNA [NM_001037131]"	chr2:236698003-236698062	hs|2q37.2
A_23_P108415	NM_001349	NM_001349	NM_001349	Hs.503787	1615	DARS	aspartyl-tRNA synthetase	ENST00000264161	THC2522605	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)|GO:0004046(aminoacylase activity)|GO:0004815(aspartate-tRNA ligase activity)|GO:0005524(ATP binding)|GO:0005622(intracellular)|GO:0005625(soluble fraction)|GO:0005737(cytoplasm)|GO:0006412(translation)|GO:0006422(aspartyl-tRNA aminoacylation)|GO:0006461(protein complex assembly)|GO:0016874(ligase activity)	"Homo sapiens aspartyl-tRNA synthetase (DARS), mRNA [NM_001349]"	chr2:136385424-136385194	hs|2q21.3
A_23_P108427	THC2604598								THC2604598		"AF154107 UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5 {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (25%) [THC2604598]"	chr2:157876581-157876640	hs|2q24.1
A_23_P108437	NM_003468	NM_003468	NM_003468	Hs.17631	7855	FZD5	frizzled homolog 5 (Drosophila)		THC2471040	GO:0004872(receptor activity)|GO:0004926(non-G-protein coupled 7TM receptor activity)|GO:0004930(G-protein coupled receptor activity)|GO:0005615(extracellular space)|GO:0005887(integral to plasma membrane)|GO:0007164(establishment of tissue polarity)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007275(multicellular organismal development)|GO:0016020(membrane)|GO:0016055(Wnt receptor signaling pathway)|GO:0048469(cell maturation)	"Homo sapiens frizzled homolog 5 (Drosophila) (FZD5), mRNA [NM_003468]"	chr2:208336089-208336030	hs|2q33.3
A_23_P108463	NM_001006657	NM_001006657	NM_001006657	Hs.205427	57539	WDR35	WD repeat domain 35	ENST00000381195	THC2601078		"Homo sapiens WD repeat domain 35 (WDR35), transcript variant 1, mRNA [NM_001006657]"	chr2:19977397-19977338	hs|2p24.1
A_23_P108492	NM_138395	NM_138395	NM_138395	Hs.116602	92935	MARS2	methionine-tRNA synthetase 2 (mitochondrial)	ENST00000282276	THC2471280	GO:0000166(nucleotide binding)|GO:0004825(methionine-tRNA ligase activity)|GO:0005524(ATP binding)|GO:0005739(mitochondrion)|GO:0005759(mitochondrial matrix)|GO:0006412(translation)|GO:0006431(methionyl-tRNA aminoacylation)|GO:0016874(ligase activity)	"Homo sapiens methionine-tRNA synthetase 2 (mitochondrial) (MARS2), nuclear gene encoding mitochondrial protein, mRNA [NM_138395]"	chr2:198280220-198280279	hs|2q33.1
A_23_P108501	NM_004438	NM_004438	NM_004438	Hs.371218	2043	EPHA4	EPH receptor A4	ENST00000281821	THC2466360	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0004872(receptor activity)|GO:0005003(ephrin receptor activity)|GO:0005524(ATP binding)|GO:0005887(integral to plasma membrane)|GO:0006468(protein amino acid phosphorylation)|GO:0007165(signal transduction)|GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway)|GO:0007411(axon guidance)|GO:0007628(adult walking behavior)|GO:0016020(membrane)|GO:0016740(transferase activity)	"Homo sapiens EPH receptor A4 (EPHA4), mRNA [NM_004438]"	chr2:221999020-221998961	hs|2q36.1
A_23_P108514	NM_003691	NM_003691	NM_003691	Hs.153003	8576	STK16	serine/threonine kinase 16	ENST00000358905	THC2515536	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0004713(protein-tyrosine kinase activity)|GO:0005524(ATP binding)|GO:0006461(protein complex assembly)|GO:0006468(protein amino acid phosphorylation)|GO:0016020(membrane)|GO:0016740(transferase activity)	"Homo sapiens serine/threonine kinase 16 (STK16), transcript variant 1, mRNA [NM_003691]"	chr2:219821595-219821654	hs|2q35
A_23_P108522	BC064950		BC064950	Hs.516707	79137	C2orf17	chromosome 2 open reading frame 17		THC2492955	GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens chromosome 2 open reading frame 17, mRNA (cDNA clone IMAGE:6048607), partial cds. [BC064950]"	chr2:219756604-219756663	hs|2q35
A_23_P108534	A_23_P108534												
A_23_P108546	NR_002714	NR_002714	NR_002714	Hs.584797	5969	REGL	"regenerating islet-derived-like, pancreatic stone protein-like, pancreatic thread protein-like (rat)"		THC2619212		"Homo sapiens regenerating islet-derived-like, pancreatic stone protein-like, pancreatic thread protein-like (rat) (REGL) on chromosome 2 [NR_002714]"	chr2:79216416-79216357	hs|2p12
A_23_P108554	NM_004939	NM_004939	NM_004939	Hs.440599	1653	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	ENST00000381341	THC2508422	GO:0000166(nucleotide binding)|GO:0000245(spliceosome assembly)|GO:0003723(RNA binding)|GO:0003724(RNA helicase activity)|GO:0004618(phosphoglycerate kinase activity)|GO:0005524(ATP binding)|GO:0005575(cellular_component)|GO:0006096(glycolysis)|GO:0006446(regulation of translational initiation)|GO:0007275(multicellular organismal development)|GO:0007283(spermatogenesis)|GO:0008026(ATP-dependent helicase activity)|GO:0016787(hydrolase activity)|GO:0016887(ATPase activity)	"Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 1 (DDX1), mRNA [NM_004939]"	chr2:15688426-15688485	hs|2p24.3
A_23_P108564	NM_020981	NM_020981	NM_020981	Hs.26537	8708	B3GALT1	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1"	ENST00000305861	THC2483131	"GO:0000139(Golgi membrane)|GO:0005615(extracellular space)|GO:0006486(protein amino acid glycosylation)|GO:0008378(galactosyltransferase activity)|GO:0008499(UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity)|GO:0009312(oligosaccharide biosynthetic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)|GO:0030145(manganese ion binding)|GO:0030259(lipid glycosylation)"	"Homo sapiens UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 (B3GALT1), mRNA [NM_020981]"	chr2:168434604-168434663	hs|2q24.3
A_23_P108574	NM_005813	NM_005813	NM_005813	Hs.646803	23683	PRKD3	protein kinase D3	ENST00000379066	THC2491685	GO:0000166(nucleotide binding)|GO:0004697(protein kinase C activity)|GO:0005524(ATP binding)|GO:0006468(protein amino acid phosphorylation)|GO:0007205(protein kinase C activation)|GO:0007242(intracellular signaling cascade)|GO:0008270(zinc ion binding)|GO:0016740(transferase activity)|GO:0019992(diacylglycerol binding)|GO:0046872(metal ion binding)	"Homo sapiens protein kinase D3 (PRKD3), mRNA [NM_005813]"	chr2:37333967-37333908	hs|2p22.2
A_23_P10858	AK024061		AK024061	Hs.524874	23141	KIAA0692	KIAA0692		THC2491507	GO:0005635(nuclear envelope)	"Homo sapiens cDNA FLJ13999 fis, clone Y79AA1002234, highly similar to Homo sapiens mRNA for KIAA0692 protein. [AK024061]"	chr12:131813062-131813003	hs|12q24.33
A_23_P108592	NM_000945	NM_000945	NM_000945	Hs.280604	5534	PPP3R1	"protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)"	ENST00000234310	THC2473239	GO:0004723(calcium-dependent protein serine/threonine phosphatase activity)|GO:0005509(calcium ion binding)|GO:0005517(calmodulin inhibitor activity)|GO:0005955(calcineurin complex)	"Homo sapiens protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I) (PPP3R1), mRNA [NM_000945]"	chr2:68261627-68261568	hs|2p14
